"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote"
"EMITF","Elbit Imaging Ltd.","2.71","$24.91M","n/a","Consumer Services","Building operators","https://www.nasdaq.com/symbol/emitf"
"ESLT","Elbit Systems Ltd.","119.61","$5.11B","n/a","Capital Goods","Military/Government/Technical","https://www.nasdaq.com/symbol/eslt"
"ERI","Eldorado Resorts, Inc.","40.25","$3.11B","n/a","Consumer Services","Hotels/Resorts","https://www.nasdaq.com/symbol/eri"
"ESIO","Electro Scientific Industries, Inc.","18.74","$628.77M","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/esio"
"EA","Electronic Arts Inc.","119.6","$36.68B","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/ea"
"EFII","Electronics for Imaging, Inc.","29.14","$1.31B","1992","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/efii"
"ELSE","Electro-Sensors, Inc.","4.0101","$13.62M","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/else"
"ELEC","Electrum Special Acquisition Corporation","10.45","$181.54M","2015","Finance","Business Services","https://www.nasdaq.com/symbol/elec"
"ELECU","Electrum Special Acquisition Corporation","10.7","$185.89M","2015","Finance","Business Services","https://www.nasdaq.com/symbol/elecu"
"ELECW","Electrum Special Acquisition Corporation","0.3399","n/a","2015","Finance","Business Services","https://www.nasdaq.com/symbol/elecw"
"EBIO","Eleven Biotherapeutics, Inc.","2.35","$101.3M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ebio"
"ESBK","Elmira Savings Bank NY (The)","20.6","$56.77M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/esbk"
"ELOX","Eloxx Pharmaceuticals, Inc.","11.6","$319.32M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/elox"
"ELTK","Eltek Ltd.","3.83","$7.77M","1997","Technology","Electrical Products","https://www.nasdaq.com/symbol/eltk"
"EMCI","EMC Insurance Group Inc.","26.16","$563.61M","1982","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/emci"
"EMCF","Emclaire Financial Corp","31.05","$70.52M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/emcf"
"EMKR","EMCORE Corporation","4.75","$129.2M","1997","Technology","Semiconductors","https://www.nasdaq.com/symbol/emkr"
"EMMS","Emmis Communications Corporation","4.52","$57.72M","1994","Consumer Services","Broadcasting","https://www.nasdaq.com/symbol/emms"
"NYNY","Empire Resorts, Inc.","19","$622.5M","n/a","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/nyny"
"ENTA","Enanta Pharmaceuticals, Inc.","92.34","$1.77B","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/enta"
"ECPG","Encore Capital Group Inc","44.95","$1.16B","n/a","Finance","Finance Companies","https://www.nasdaq.com/symbol/ecpg"
"WIRE","Encore Wire Corporation","53.85","$1.12B","1992","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/wire"
"ENDP","Endo International plc","5.61","$1.25B","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/endp"
"ECYT","Endocyte, Inc.","9.33","$643.48M","2011","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ecyt"
"ELGX","Endologix, Inc.","4.26","$357.78M","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/elgx"
"NDRA","ENDRA Life Sciences Inc.","2.482","$9.74M","2017","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://www.nasdaq.com/symbol/ndra"
"NDRAW","ENDRA Life Sciences Inc.","0.5","n/a","2017","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://www.nasdaq.com/symbol/ndraw"
"EIGI","Endurance International Group Holdings, Inc.","7.5","$1.06B","2013","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/eigi"
"WATT","Energous Corporation","18.79","$474.94M","2014","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/watt"
"EFOI","Energy Focus, Inc.","2.79","$33.17M","n/a","Consumer Durables","Building Products","https://www.nasdaq.com/symbol/efoi"
"ERII","Energy Recovery, Inc.","8.2","$442.68M","2008","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/erii"
"EGC","Energy XXI Gulf Coast, Inc.","5.68","$189.04M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/egc"
"ENG","ENGlobal Corporation","0.84","$23.11M","n/a","Consumer Services","Military/Government/Technical","https://www.nasdaq.com/symbol/eng"
"ENPH","Enphase Energy, Inc.","4.38","$419.73M","2012","Technology","Semiconductors","https://www.nasdaq.com/symbol/enph"
"ESGR","Enstar Group Limited","212.85","$4.14B","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/esgr"
"ENFC","Entegra Financial Corp.","28.9","$199.08M","2014","Finance","Banks","https://www.nasdaq.com/symbol/enfc"
"ENTG","Entegris, Inc.","33.4","$4.74B","2000","Consumer Non-Durables","Plastic Products","https://www.nasdaq.com/symbol/entg"
"EBTC","Enterprise Bancorp Inc","36.67","$428.41M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/ebtc"
"EFSC","Enterprise Financial Services Corporation","50.85","$1.17B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/efsc"
"EPZM","Epizyme, Inc.","13.4","$931.06M","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/epzm"
"PLUS","ePlus inc.","80.2","$1.12B","1996","Technology","Retail: Computer Software & Peripheral Equipment","https://www.nasdaq.com/symbol/plus"
"EQIX","Equinix, Inc.","416.08","$33.06B","2000","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/eqix"
"EQFN","Equitable Financial Corp.","10.55","$35.45M","2015","Finance","Savings Institutions","https://www.nasdaq.com/symbol/eqfn"
"EQBK","Equity Bancshares, Inc.","38.85","$568.04M","2015","Finance","Major Banks","https://www.nasdaq.com/symbol/eqbk"
"ERIC","Ericsson","7.6","$24.98B","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/eric"
