"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote"
"PIH","1347 Property Insurance Holdings, Inc.","6.7","$40.1M","2014","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/pih"
"PIHPP","1347 Property Insurance Holdings, Inc.","25.0202","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/pihpp"
"TURN","180 Degree Capital Corp.","1.83","$56.95M","n/a","Finance","Finance/Investors Services","https://www.nasdaq.com/symbol/turn"
"FLWS","1-800 FLOWERS.COM, Inc.","12.75","$822.85M","1999","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/flws"
"FCCY","1st Constitution Bancorp (NJ)","21.55","$180.3M","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/fccy"
"SRCE","1st Source Corporation","52.84","$1.37B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/srce"
"VNET","21Vianet Group, Inc.","5.63","$629.89M","2011","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/vnet"
"TWOU","2U, Inc.","79.61","$4.2B","2014","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/twou"
"JOBS","51job, Inc.","83.76","$5.18B","2004","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/jobs"
"CAFD","8point3 Energy Partners LP","12","$949.12M","2015","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/cafd"
"EGHT","8x8 Inc","19.95","$1.84B","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/eght"
"AVHI","A V Homes, Inc.","19.25","$430.2M","n/a","Capital Goods","Homebuilding","https://www.nasdaq.com/symbol/avhi"
"SHLM","A. Schulman, Inc.","43.05","$1.27B","1972","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/shlm"
"AAON","AAON, Inc.","35.7","$1.87B","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aaon"
"ABAX","ABAXIS, Inc.","73","$1.66B","1992","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/abax"
"ABEO","Abeona Therapeutics Inc.","17.65","$833.56M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/abeo"
"ABEOW","Abeona Therapeutics Inc.","12.5","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/abeow"
"ABIL","Ability Inc.","2.66","$6.85M","2014","Consumer Durables","Telecommunications Equipment","https://www.nasdaq.com/symbol/abil"
"ABMD","ABIOMED, Inc.","303.41","$13.43B","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/abmd"
"ABLX","Ablynx NV","54.26","$4.08B","2017","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/ablx"
"AXAS","Abraxas Petroleum Corporation","2.95","$489.41M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/axas"
"ACIU","AC Immune SA","10.9","$625.17M","2016","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aciu"
"ACIA","Acacia Communications, Inc.","27.98","$1.12B","2016","Technology","Semiconductors","https://www.nasdaq.com/symbol/acia"
"ACTG","Acacia Research Corporation","3.7","$187.36M","n/a","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/actg"
"ACHC","Acadia Healthcare Company, Inc.","35.99","$3.18B","n/a","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/achc"
"ACAD","ACADIA Pharmaceuticals Inc.","15.12","$1.89B","1985","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acad"
"ACST","Acasti Pharma, Inc.","0.77","$19.74M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acst"
"AXDX","Accelerate Diagnostics, Inc.","23.25","$1.3B","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/axdx"
"XLRN","Acceleron Pharma Inc.","37.01","$1.69B","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/xlrn"
"ANCX","Access National Corporation","29.36","$607.65M","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/ancx"
"ARAY","Accuray Incorporated","5.1","$435M","2007","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/aray"
"ACRX","AcelRx Pharmaceuticals, Inc.","2.3","$117.39M","2011","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acrx"
"ACER","Acer Therapeutics Inc.","19.77","$148.22M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acer"
"ACET","Aceto Corporation","2.6","$79.98M","n/a","Health Care","Other Pharmaceuticals","https://www.nasdaq.com/symbol/acet"
"AKAO","Achaogen, Inc.","12.92","$578.71M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/akao"
"ACHV","Achieve Life Sciences, Inc. ","1.41","$17.97M","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://www.nasdaq.com/symbol/achv"
"ACHN","Achillion Pharmaceuticals, Inc.","3.82","$528.46M","2006","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/achn"
"ACIW","ACI Worldwide, Inc.","23.85","$2.76B","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/aciw"
"ACRS","Aclaris Therapeutics, Inc.","17.79","$549.74M","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acrs"
"ACMR","ACM Research, Inc.","10.27","$158.18M","2017","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/acmr"
"ACNB","ACNB Corporation","30","$210.71M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/acnb"
"ACOR","Acorda Therapeutics, Inc.","23.35","$1.1B","2006","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/acor"
"SQZZ","Active Alts Contrarian ETF","25.4708","$636820.94","n/a","n/a","n/a","https://www.nasdaq.com/symbol/sqzz"
"ATVI","Activision Blizzard, Inc","66.34","$50.33B","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/atvi"
"ACXM","Acxiom Corporation","25.98","$2.03B","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/acxm"
"ADMS","Adamas Pharmaceuticals, Inc.","29.33","$786.26M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/adms"
"ADMP","Adamis Pharmaceuticals Corporation","3.5","$116.86M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/admp"
"ADAP","Adaptimmune Therapeutics plc","13.1","$7.36B","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/adap"
"ADUS","Addus HomeCare Corporation","51.95","$604.22M","2009","Health Care","Medical/Nursing Services","https://www.nasdaq.com/symbol/adus"
"AEY","ADDvantage Technologies Group, Inc.","1.24","$12.68M","n/a","Consumer Services","Office Equipment/Supplies/Services","https://www.nasdaq.com/symbol/aey"
"IOTS","Adesto Technologies Corporation","8.6","$183.99M","2015","Technology","Semiconductors","https://www.nasdaq.com/symbol/iots"
"ADMA","ADMA Biologics Inc","4.96","$224.77M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/adma"
"ADBE","Adobe Systems Incorporated","221.91","$109.28B","1986","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/adbe"
"ADOM","ADOMANI, Inc.","0.69","$49.5M","2017","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/adom"
"ADTN","ADTRAN, Inc.","14.6","$699.4M","1994","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/adtn"
"ADRO","Aduro Biotech, Inc.","7","$549.63M","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/adro"
"ADES","Advanced Emissions Solutions, Inc.","11.03","$223.99M","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/ades"
"AEIS","Advanced Energy Industries, Inc.","62.1","$2.47B","1995","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aeis"
"AMD","Advanced Micro Devices, Inc.","11.04","$10.7B","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/amd"
"ADXS","Advaxis, Inc.","1.72","$89.98M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/adxs"
"ADXSW","Advaxis, Inc.","0.3591","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/adxsw"
"ADVM","Adverum Biotechnologies, Inc.","6.1","$379.62M","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/advm"
"ACT","AdvisorShares Vice ETF","25.18","$12.59M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/act"
"AEGN","Aegion Corp","23.14","$754.21M","n/a","Basic Industries","Water Supply","https://www.nasdaq.com/symbol/aegn"
"AGLE","Aeglea BioTherapeutics, Inc.","8","$134.48M","2016","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/agle"
"AEHR","Aehr Test Systems","2.39","$52.47M","1997","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/aehr"
"AMTX","Aemetis, Inc","1.76","$35.59M","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/amtx"
"AERI","Aerie Pharmaceuticals, Inc.","54.55","$2.15B","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/aeri"
"AVAV","AeroVironment, Inc.","54.75","$1.31B","2007","Capital Goods","Aerospace","https://www.nasdaq.com/symbol/avav"
"AEZS","AEterna Zentaris Inc.","1.62","$26.63M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aezs"
"AEMD","Aethlon Medical, Inc.","1.31","$21.88M","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/aemd"
"GNMX","Aevi Genomic Medicine, Inc.","1.5","$89.01M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/gnmx"
"AFMD","Affimed N.V.","2.025","$126.34M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/afmd"
"AGEN","Agenus Inc.","3.55","$364.08M","2000","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/agen"
"AGRX","Agile Therapeutics, Inc.","2.78","$95.21M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/agrx"
"AGYS","Agilysys, Inc.","12.16","$283.49M","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/agys"
"AGIO","Agios Pharmaceuticals, Inc.","85.45","$4.92B","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/agio"
"AGMH","AGM Group Holdings Inc.","9.73","$208.32M","2018","Technology","EDP Services","https://www.nasdaq.com/symbol/agmh"
"AGNC","AGNC Investment Corp.","19.09","$7.47B","2008","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/agnc"
"AGNCB","AGNC Investment Corp.","25.5698","$8.86B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/agncb"
"AGNCN","AGNC Investment Corp.","25.42","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/agncn"
"AGFS","AgroFresh Solutions, Inc.","6.92","$347.69M","2014","Finance","Business Services","https://www.nasdaq.com/symbol/agfs"
"AGFSW","AgroFresh Solutions, Inc.","0.49","n/a","2014","Finance","Business Services","https://www.nasdaq.com/symbol/agfsw"
"ALRN","Aileron Therapeutics, Inc.","5.16","$76.03M","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alrn"
"AIMT","Aimmune Therapeutics, Inc.","31.53","$1.83B","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aimt"
"AIRT","Air T, Inc.","26.85","$54.85M","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/airt"
"ATSG","Air Transport Services Group, Inc","20.26","$1.2B","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/atsg"
"AIRG","Airgain, Inc.","8.15","$78.58M","2016","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/airg"
"AMCN","AirMedia Group Inc","0.669","$42.02M","2007","Technology","Advertising","https://www.nasdaq.com/symbol/amcn"
"AKAM","Akamai Technologies, Inc.","71.53","$12.2B","1999","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/akam"
"AKTX","Akari Therapeutics Plc","1.97","$30.06M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aktx"
"AKCA","Akcea Therapeutics, Inc.","25.67","$2.19B","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/akca"
"AKBA","Akebia Therapeutics, Inc.","9.62","$465.09M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/akba"
"AKER","Akers Biosciences Inc","0.55","$45.09M","2014","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://www.nasdaq.com/symbol/aker"
"AKRX","Akorn, Inc.","13.6","$1.7B","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/akrx"
"AKTS","Akoustis Technologies, Inc.","5.11","$114.06M","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/akts"
"ALRM","Alarm.com Holdings, Inc.","40.64","$1.92B","2015","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/alrm"
"ALSK","Alaska Communications Systems Group, Inc.","1.54","$80.89M","1999","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/alsk"
"ALBO","Albireo Pharma, Inc.","31.03","$370.56M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/albo"
"ABDC","Alcentra Capital Corp.","6.15","$87.37M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/abdc"
"ALDR","Alder BioPharmaceuticals, Inc.","14.1","$956.61M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aldr"
"ALDX","Aldeyra Therapeutics, Inc.","7.35","$144.54M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aldx"
"ALXN","Alexion Pharmaceuticals, Inc.","121.42","$27B","1996","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alxn"
"ALCO","Alico, Inc.","32.15","$265.22M","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/alco"
"ALGN","Align Technology, Inc.","259.89","$20.83B","2001","Health Care","Industrial Specialties","https://www.nasdaq.com/symbol/algn"
"ALIM","Alimera Sciences, Inc.","1.13","$92.56M","2010","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alim"
"ALJJ","ALJ Regional Holdings, Inc.","2.12","$80.39M","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/aljj"
"ALKS","Alkermes plc","46.05","$7.14B","1991","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alks"
"ABTX","Allegiance Bancshares, Inc.","41.15","$546.66M","2015","Finance","Major Banks","https://www.nasdaq.com/symbol/abtx"
"ALGT","Allegiant Travel Company","157.25","$2.53B","2006","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/algt"
"ALNA","Allena Pharmaceuticals, Inc.","14.7","$304.22M","2017","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/alna"
"AHGP","Alliance Holdings GP, L.P.","23.08","$1.38B","2006","Energy","Coal Mining","https://www.nasdaq.com/symbol/ahgp"
"AMMA","Alliance MMA, Inc.","0.3104","$4.61M","2016","Consumer Services","Services-Misc. Amusement & Recreation","https://www.nasdaq.com/symbol/amma"
"ARLP","Alliance Resource Partners, L.P.","15.75","$2.06B","1999","Energy","Coal Mining","https://www.nasdaq.com/symbol/arlp"
"AHPI","Allied Healthcare Products, Inc.","2.69","$10.8M","1992","Health Care","Industrial Specialties","https://www.nasdaq.com/symbol/ahpi"
"AMOT","Allied Motion Technologies, Inc.","39.66","$373.87M","n/a","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/amot"
"ALQA","Alliqua BioMedical, Inc.","2.43","$12.16M","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/alqa"
"ALLT","Allot Communications Ltd.","5.15","$172.98M","2006","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/allt"
"MDRX","Allscripts Healthcare Solutions, Inc.","12.19","$2.17B","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/mdrx"
"ALNY","Alnylam Pharmaceuticals, Inc.","95.3","$9.55B","2004","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alny"
"AOSL","Alpha and Omega Semiconductor Limited","15.12","$362.09M","2010","Technology","Semiconductors","https://www.nasdaq.com/symbol/aosl"
"GOOG","Alphabet Inc.","1040.04","$722.36B","2004","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/goog"
"GOOGL","Alphabet Inc.","1043.31","$724.63B","n/a","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/googl"
"SMCP","AlphaMark Actively Managed Small Cap ETF","25.14","$27.65M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/smcp"
"ATEC","Alphatec Holdings, Inc.","4.06","$103.41M","2006","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/atec"
"ALPN","Alpine Immune Sciences, Inc.","7.97","$110.35M","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alpn"
"SWIN","ALPS/Dorsey Wright Sector Momentum ETF","29.94","$10.48M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/swin"
"AMR","Alta Mesa Resources, Inc.","7.52","$2.88B","2017","Finance","Business Services","https://www.nasdaq.com/symbol/amr"
"AMRWW","Alta Mesa Resources, Inc.","1.56","n/a","2017","Finance","Business Services","https://www.nasdaq.com/symbol/amrww"
"AABA","Altaba Inc.","69.8","$56.53B","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/aaba"
"ALTR","Altair Engineering Inc.","27.99","$1.77B","2017","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/altr"
"ALT","Altimmune, Inc.","0.715","$15.92M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alt"
"ASPS","Altisource Portfolio Solutions S.A.","26.41","$459.53M","n/a","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/asps"
"AIMC","Altra Industrial Motion Corp.","43.8","$1.29B","2006","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aimc"
"ALZH","Alzheon, Inc.","n/a","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alzh"
"AMAG","AMAG Pharmaceuticals, Inc.","20.25","$690.3M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/amag"
"AMRN","Amarin Corporation plc","2.86","$839.65M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/amrn"
"AMRK","A-Mark Precious Metals, Inc.","13.91","$97.81M","n/a","Basic Industries","Other Specialty Stores","https://www.nasdaq.com/symbol/amrk"
"AMZN","Amazon.com, Inc.","1517.96","$736.16B","1997","Consumer Services","Catalog/Specialty Distribution","https://www.nasdaq.com/symbol/amzn"
"AMBC","Ambac Financial Group, Inc.","17.64","$799.66M","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/ambc"
"AMBCW","Ambac Financial Group, Inc.","8.82","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/ambcw"
"AMBA","Ambarella, Inc.","47.75","$1.61B","2012","Technology","Semiconductors","https://www.nasdaq.com/symbol/amba"
"AMCX","AMC Networks Inc.","54.24","$3.29B","n/a","Consumer Services","Television Services","https://www.nasdaq.com/symbol/amcx"
"DOX","Amdocs Limited","67.27","$9.65B","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/dox"
"AMDA","Amedica Corporation","1.11","$4.75M","2014","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/amda"
"AMED","Amedisys Inc","64.27","$2.18B","n/a","Health Care","Medical/Nursing Services","https://www.nasdaq.com/symbol/amed"
"UHAL","Amerco","341.61","$6.7B","n/a","Consumer Services","Rental/Leasing Companies","https://www.nasdaq.com/symbol/uhal"
"AMRH","Ameri Holdings, Inc.","1.23","$23.11M","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/amrh"
"AMRHW","Ameri Holdings, Inc.","0.31","n/a","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/amrhw"
"ATAX","America First Multifamily Investors, L.P.","6.275","$378.84M","n/a","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/atax"
"AMOV","America Movil, S.A.B. de C.V.","18.52","$61.17B","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/amov"
"AAL","American Airlines Group, Inc.","42.37","$19.8B","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/aal"
"ACSF","American Capital Senior Floating, Ltd.","11","$110M","2014","n/a","n/a","https://www.nasdaq.com/symbol/acsf"
"AETI","American Electric Technologies, Inc.","0.696","$6.09M","n/a","Energy","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aeti"
"AMNB","American National Bankshares, Inc.","39.8","$345.27M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/amnb"
"ANAT","American National Insurance Company","121.15","$3.26B","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/anat"
"AOBC","American Outdoor Brands Corporation","11.11","$601.38M","n/a","Capital Goods","Ordnance And Accessories","https://www.nasdaq.com/symbol/aobc"
"APEI","American Public Education, Inc.","40.55","$664.99M","2007","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/apei"
"ARII","American Railcar Industries, Inc.","37.51","$715.84M","2006","Capital Goods","Railroads","https://www.nasdaq.com/symbol/arii"
"AMRB","American River Bankshares","15.51","$91.23M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/amrb"
"AMSWA","American Software, Inc.","13.1","$398.33M","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/amswa"
"AMSC","American Superconductor Corporation","6.04","$126.46M","1991","Consumer Durables","Metal Fabrications","https://www.nasdaq.com/symbol/amsc"
"AMWD","American Woodmark Corporation","86.05","$1.51B","1986","Basic Industries","Forest Products","https://www.nasdaq.com/symbol/amwd"
"CRMT","America&#39;s Car-Mart, Inc.","52.85","$365.65M","n/a","Consumer Durables","Automotive Aftermarket","https://www.nasdaq.com/symbol/crmt"
"ABCB","Ameris Bancorp","52.45","$2.01B","1994","Finance","Major Banks","https://www.nasdaq.com/symbol/abcb"
"AMSF","AMERISAFE, Inc.","61.35","$1.18B","2005","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/amsf"
"ASRV","AmeriServ Financial Inc.","4.1","$73.94M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/asrv"
"ASRVP","AmeriServ Financial Inc.","27.75","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/asrvp"
"ATLO","Ames National Corporation","28.9","$269.09M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/atlo"
"AMGN","Amgen Inc.","175.37","$117.19B","1983","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/amgn"
"FOLD","Amicus Therapeutics, Inc.","13.73","$2.57B","2007","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/fold"
"AMKR","Amkor Technology, Inc.","9.12","$2.18B","1998","Technology","Semiconductors","https://www.nasdaq.com/symbol/amkr"
"AMPH","Amphastar Pharmaceuticals, Inc.","19.21","$895.24M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/amph"
"IBUY","Amplify Online Retail ETF","44.76","$290.94M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ibuy"
"ASYS","Amtech Systems, Inc.","7.11","$105.91M","n/a","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/asys"
"AFSI","AmTrust Financial Services, Inc.","12.8","$2.51B","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/afsi"
"AMRS","Amyris, Inc.","6.64","$329.97M","2010","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/amrs"
"ADI","Analog Devices, Inc.","88.7","$32.8B","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/adi"
"ALOG","Analogic Corporation","83.35","$1.04B","1972","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/alog"
"ANAB","AnaptysBio, Inc.","87.78","$2.09B","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/anab"
"AVXL","Anavex Life Sciences Corp.","2.39","$106.53M","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://www.nasdaq.com/symbol/avxl"
"ANCB","Anchor Bancorp","24.7","$61.36M","2011","Finance","Banks","https://www.nasdaq.com/symbol/ancb"
"ANGI","ANGI Homeservices Inc.","13.53","$6.47B","n/a","Consumer Services","Advertising","https://www.nasdaq.com/symbol/angi"
"ANGO","AngioDynamics, Inc.","19.7","$725.05M","2004","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/ango"
"ANIP","ANI Pharmaceuticals, Inc.","58.68","$688.82M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/anip"
"ANIK","Anika Therapeutics Inc.","43.98","$648.49M","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/anik"
"ANSS","ANSYS, Inc.","162.6","$13.67B","1996","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/anss"
"ATRS","Antares Pharma, Inc.","2.34","$366.89M","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/atrs"
"ANTH","Anthera Pharmaceuticals, Inc.","0.317","$7.42M","2010","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/anth"
"APLS","Apellis Pharmaceuticals, Inc.","23.87","$1.2B","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/apls"
"APOG","Apogee Enterprises, Inc.","41.89","$1.19B","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/apog"
"APEN","Apollo Endosurgery, Inc.","5.8","$100.55M","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/apen"
"AINV","Apollo Investment Corporation","5.34","$1.16B","2004","n/a","n/a","https://www.nasdaq.com/symbol/ainv"
"AMEH","Apollo Medical Holdings, Inc.","15.49","$505.39M","n/a","Consumer Services","Professional Services","https://www.nasdaq.com/symbol/ameh"
"APPF","AppFolio, Inc.","47.45","$1.62B","2015","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/appf"
"APPN","Appian Corporation","26.56","$1.61B","2017","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/appn"
"AAPL","Apple Inc.","164.22","$833.25B","1980","Technology","Computer Manufacturing","https://www.nasdaq.com/symbol/aapl"
"ARCI","Appliance Recycling Centers of America, Inc.","0.7348","$5.05M","n/a","Consumer Services","Home Furnishings","https://www.nasdaq.com/symbol/arci"
"APDN","Applied DNA Sciences Inc","1.46","$43.96M","n/a","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/apdn"
